date,total_nonfarm,% change,absolute change
1939-01-01,29923,0.005915,177
1939-02-01,30100,0.005915182,177
1939-03-01,30280,0.005980066,180
1939-04-01,30094,-0.006142668,-186
1939-05-01,30299,0.006811989,205
1939-06-01,30502,0.006699891,203
1939-07-01,30419,-0.002721133,-83
1939-08-01,30663,0.008021302,244
1939-09-01,31031,0.012001435,368
1939-10-01,31411,0.012245819,380
1939-11-01,31470,0.001878323,59
1939-12-01,31542,0.002287893,72
1940-01-01,31603,0.001933929,61
1940-02-01,31715,0.003543967,112
1940-03-01,31825,0.00346839,110
1940-04-01,31701,-0.003896308,-124
1940-05-01,31879,0.005614965,178
1940-06-01,31977,0.003074124,98
1940-07-01,31942,-0.001094537,-35
1940-08-01,32352,0.012835765,410
1940-09-01,32810,0.014156775,458
1940-10-01,33267,0.01392868,457
1940-11-01,33669,0.012084047,402
1940-12-01,34174,0.01499896,505
1941-01-01,34481,0.008983438,307
1941-02-01,34843,0.010498535,362
1941-03-01,35092,0.007146342,249
1941-04-01,35468,0.010714693,376
1941-05-01,36182,0.020130822,714
1941-06-01,36650,0.012934608,468
1941-07-01,37137,0.013287858,487
1941-08-01,37544,0.010959421,407
1941-09-01,37835,0.007750906,291
1941-10-01,37949,0.003013083,114
1941-11-01,38024,0.001976337,75
1941-12-01,38104,0.002103934,80
1942-01-01,38347,0.006377283,243
1942-02-01,38512,0.004302814,165
1942-03-01,38935,0.01098359,423
1942-04-01,39352,0.010710158,417
1942-05-01,39771,0.010647489,419
1942-06-01,40029,0.006487139,258
1942-07-01,40472,0.011066976,443
1942-08-01,40988,0.012749555,516
1942-09-01,41259,0.006611691,271
1942-10-01,41515,0.006204707,256
1942-11-01,41674,0.003829941,159
1942-12-01,41915,0.005782982,241
1943-01-01,42172,0.006131457,257
1943-02-01,42393,0.005240444,221
1943-03-01,42552,0.003750619,159
1943-04-01,42647,0.002232563,95
1943-05-01,42596,-0.001195864,-51
1943-06-01,42781,0.004343131,185
1943-07-01,42700,-0.001893364,-81
1943-08-01,42546,-0.003606557,-154
1943-09-01,42492,-0.001269214,-54
1943-10-01,42675,0.004306693,183
1943-11-01,42821,0.003421207,146
1943-12-01,42746,-0.001751477,-75
1944-01-01,42654,-0.002152248,-92
1944-02-01,42538,-0.002719557,-116
1944-03-01,42294,-0.005736048,-244
1944-04-01,42063,-0.005461768,-231
1944-05-01,41985,-0.001854361,-78
1944-06-01,41947,-0.000905085,-38
1944-07-01,41904,-0.001025103,-43
1944-08-01,41850,-0.00128866,-54
1944-09-01,41679,-0.004086022,-171
1944-10-01,41708,0.000695794,29
1944-11-01,41711,7.19286E-05,3
1944-12-01,41860,0.003572199,149
1945-01-01,41895,0.00083612,35
1945-02-01,41897,4.77384E-05,2
1945-03-01,41798,-0.002362938,-99
1945-04-01,41446,-0.008421456,-352
1945-05-01,41304,-0.003426145,-142
1945-06-01,41149,-0.003752663,-155
1945-07-01,40874,-0.00668303,-275
1945-08-01,40466,-0.009981896,-408
1945-09-01,38507,-0.048411012,-1959
1945-10-01,38600,0.002415145,93
1945-11-01,38996,0.010259067,396
1945-12-01,39110,0.002923377,114
1946-01-01,39829,0.018384045,719
1946-02-01,39244,-0.01468779,-585
1946-03-01,40195,0.024233004,951
1946-04-01,40913,0.017862918,718
1946-05-01,41349,0.010656759,436
1946-06-01,41735,0.009335171,386
1946-07-01,42153,0.010015574,418
1946-08-01,42642,0.011600598,489
1946-09-01,42915,0.006402139,273
1946-10-01,43093,0.004147734,178
1946-11-01,43395,0.007008099,302
1946-12-01,43379,-0.000368706,-16
1947-01-01,43535,0.00359621,156
1947-02-01,43557,0.000505341,22
1947-03-01,43607,0.001147921,50
1947-04-01,43499,-0.002476667,-108
1947-05-01,43638,0.003195476,139
1947-06-01,43810,0.003941519,172
1947-07-01,43743,-0.001529331,-67
1947-08-01,43960,0.004960794,217
1947-09-01,44203,0.005527753,243
1947-10-01,44411,0.004705563,208
1947-11-01,44484,0.001643737,73
1947-12-01,44581,0.002180559,97
1948-01-01,44679,0.002198246,98
1948-02-01,44533,-0.003267754,-146
1948-03-01,44683,0.003368289,150
1948-04-01,44379,-0.006803482,-304
1948-05-01,44796,0.009396336,417
1948-06-01,45034,0.005312974,238
1948-07-01,45160,0.002797886,126
1948-08-01,45178,0.000398583,18
1948-09-01,45294,0.002567621,116
